,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,62,32,0.319148933,0.098739496,23.76,0.219977553,9.591991021,23.76,392,1782,1.775533109,4,5.670594837
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,37,0.221052629,0.174311926,17.625,0.145390071,7.108156028,17.625,205,1410,1.560992908,8,4.842553191
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,64,35,0.29292929,0.123441396,19.95294118,0.20754717,8.064195339,19.95294118,352,1696,1.76120283,3,5.400943396
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59,27,0.372093019,0.140752864,17.39130435,0.15125,7.017021739,17.39130435,242,1600,1.59375,22,4.805625
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,53,23,0.394736837,0.102425876,22.07792208,0.171176471,8.899639419,22.07792208,291,1700,1.604705882,20,5.078823529
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,41,22,0.301587297,0.121621621,22.52727273,0.155770783,9.073217404,22.52727273,193,1239,1.597255851,36,5.00322841
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,22,11,0.333333323,0.100609756,16.37777778,0.166892809,6.617868235,16.37777778,123,737,1.620081411,11,5.065128901
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0,0,5,0,2,5,0,5,1,0,6.2
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.422222213,0.15,19.63888889,0.117397454,7.902514537,19.63888889,83,707,1.463932107,3,4.830268741
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,61,33,0.297872337,0.103638368,26.60493827,0.169837587,10.70991034,26.60493827,366,2155,1.587006961,12,4.939675174
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,42,54,-0.124999999,0.110599078,20.05434783,0.152303523,8.08266054,20.05434783,281,1845,1.507317073,1,5.151761518
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32,22,0.185185182,0.09540636,20.39655172,0.21386306,8.244165914,20.39655172,253,1183,1.729501268,11,5.445477599
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,29,27,0.035714285,0.098939929,15,0.162139918,6.064855967,15,197,1215,1.564609053,7,5.027983539
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,53,24,0.376623372,0.125816993,26.62903226,0.129618413,10.70346027,26.62903226,214,1651,1.559055118,42,4.812840703
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,59,20,0.49367088,0.117384844,19.25,0.177922078,7.771168831,19.25,274,1540,1.662987013,14,5.120779221
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,24,0,0.999999958,0.096774193,22.81818182,0.21314741,9.212531691,22.81818182,107,502,1.725099602,0,5.509960159
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,75,39,0.315789471,0.169390787,200.7777778,0.143884892,80.36866507,200.7777778,260,1807,1.557277255,18,4.773104593
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,17,0,0.999999941,0.049853372,16.77777778,0.20397351,6.792700515,16.77777778,154,755,1.638410596,1,5.094039735
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14,5,0.473684186,0.055555555,17.65,0.250708215,7.160283286,17.65,177,706,1.776203966,1,5.463172805
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,3,-0.999999667,0.039999999,26.14285714,0.169398907,10.52490242,26.14285714,31,183,1.672131148,2,5.398907104
20,57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0,0,0,0,5,0,2,5,0,5,1,0,6.2
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,23,68,-0.494505489,0.143533123,25.07272727,0.162436548,10.09406553,25.07272727,224,1379,1.596809282,2,5.101522843
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,14,0.066666664,0.097402597,25.06896552,0.173314993,10.0969122,25.06896552,126,727,1.595598349,4,4.951856946
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,56,37,0.204301073,0.127222982,17.28181818,0.157285639,6.975641528,17.28181818,299,1901,1.564965807,15,4.86743819
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,3,0.860465096,0.140983606,14.93181818,0.190258752,6.048830773,14.93181818,125,657,1.684931507,4,5.132420091
